Layer,Outlier S,Big S,Middle S
0,30.317950490084215,16.04789727465389,4.022541588318485
1,27.329402234345892,15.703259293635073,4.006214156227841
2,26.340422573655015,15.627582791153422,4.001290259792548
3,27.310897308162723,15.549838150840467,3.975229889926483
4,28.414448342297447,15.44793953709481,3.945391991533043
5,29.366280248303962,15.411202744488426,3.9356620698866807
6,31.450439490358388,15.383314993540088,3.929790077581963
7,32.307578602196585,15.349310056742548,3.92420643022692
8,33.43231846442421,15.35874061639102,3.922926499597625
9,32.606110070518305,15.388926725373706,3.9210578187212635
10,31.23560465922466,15.39243393414673,3.921609253642478
11,30.664588662384574,15.386059749911551,3.924334728971328
12,31.033561543781513,15.420977288548203,3.9298441792842462
13,30.119978100709424,15.437423744462583,3.928677127279637
14,29.2775243709068,15.471116983695968,3.932316102190086
15,30.048699302076358,15.468804223373876,3.9281557715241364
16,29.10547121636314,15.430509808954023,3.9277780424573376
17,29.211629575543526,15.417664391528383,3.92656848103834
18,28.31806682645242,15.40340697661637,3.92591158315051
19,28.33742668563862,15.383193423748926,3.9242833429162713
20,28.299767007847283,15.374752974632838,3.9236796658655657
21,28.643281691377297,15.361733817084287,3.9245898167573507
22,28.86853977119586,15.36252179982605,3.9208705150350416
23,28.676593038616787,15.348694963208445,3.922379069202167
24,28.38434750553259,15.340138009067132,3.921624381920377
25,28.664532476327878,15.33198815231476,3.922678559303913
26,29.148875166332672,15.338597198890993,3.921974650638221
27,29.54098792126243,15.366093634223915,3.920743847372524
28,29.876860552650296,15.356707476768019,3.9225176983039045
29,30.19900740002529,15.37439624471128,3.921251890104857
30,30.377513590216765,15.41362139035144,3.9199711530128223
31,26.706639457371274,15.329903937741054,3.921464921074831
